,NASDAQ,USD-GBP,USD-JPY,USD-CAD,Bitcoin
2018-12-13,0.9084677568979351,1.024781805411744,1.035972922574879,1.0089600316638832,2.088287526994389
2018-12-14,0.9034567173812754,1.022646470161863,1.0384876970059316,1.009035644392728,2.1341387350259935
2018-12-17,0.8899894192505672,1.0282890407201153,1.036933091416299,1.012127745378021,1.9515445215326097
2018-12-18,0.8742253614876244,1.0258301113884032,1.0318028650626834,1.0139723715210402,1.8722402405422638
2018-12-19,0.8666043823250685,1.022646470161863,1.0290136869073678,1.017351692729013,1.847304403014501
2018-12-20,0.8457248651578998,1.0248465242281102,1.0279711899717119,1.0187048811957624,1.6737238659286005
2018-12-21,0.8300652272825233,1.0214558444996307,1.0166406813481266,1.0204815550175075,1.7759101487151085
2018-12-24,0.8012514712901,1.023138225172989,1.0155707649709156,1.0278147280012535,1.6966390980538186
2018-12-25,0.8012514712901,1.0181557248312394,1.008776115722305,1.0287673222132778,1.8136362391985967
2018-12-26,0.8275596278751564,1.0199287427027268,1.0096083271698024,1.0271041125460207,1.7939793918842792
2018-12-27,0.8423841455971143,1.0231511843638703,1.0169607841416475,1.026121327315924,1.8933590209391158
2018-12-28,0.840713745992203,1.0233583000038504,1.0137509652404433,1.0295988819856852,1.7635208750633267
2018-12-31,0.8515711044770152,1.0195405069425703,1.0089499117246286,1.0298257201722194,1.84890912581401
2019-01-01,0.8515711044770152,1.0159815120087141,1.002548483780352,1.0126115226467198,1.800410165442402
2019-01-02,0.8456204452703336,1.0146873670955123,1.0028960060154277,1.030082749376826,1.754804459053945
2019-01-03,0.8228617683721582,1.0335174571364483,0.9825304774364422,1.0305211950571949,1.8035906100269712
2019-01-04,0.8555381840651239,1.0247689233589035,0.9858866031288438,1.0189997618260125,1.7937836350367489
2019-01-07,0.8331971070681763,1.0162274280832977,0.9924160582366145,1.010721564915371,1.7191267666118484
2019-01-08,0.8307960071974126,1.012163796085475,0.9932756193560953,1.0051800260787431,1.716738815026284
2019-01-09,0.8348675066730876,1.0159944711995956,0.9947388268072116,1.0014756332224477,1.7148460960416219
2019-01-10,0.8409225857673355,1.0110896488650938,0.9893708257543108,0.9987917868994506,1.8809606844703186
2019-01-11,0.8424884858356435,1.0147132854772751,0.9903675538511374,1.0008708215141322,1.8766544366165157
2019-01-14,0.840713745992203,1.007142418171081,0.9918307613022537,1.00301789857253,1.8671920500688082
2019-01-15,0.8460380451715614,1.005175320988536,0.9899286334775453,1.0036756121543042,1.9059575449659842
2019-01-16,0.8660823625362745,1.0053953186813567,0.9935316736830835,1.002428227434472,1.8932691983526975
2019-01-17,0.860653723118387,1.0043340535138159,0.9971256438443414,1.002360184990756,1.8811447603536962
2019-01-18,0.8679615222672812,0.9967373449638999,0.9981864204077008,1.0039855432323697,1.891802834559622
2019-01-21,0.8679615222672812,1.0068577016618943,1.0028320273184665,1.0035924291403309,1.935080605350749
2019-01-22,0.8706758818007435,1.0038682168844528,1.002914285643131,1.0051044133498985,1.9197571943412806
2019-01-23,0.8845607798326796,0.9987562789099708,1.0000337093492995,1.009716068829888,1.9301743990105331
2019-01-24,0.8872750597171049,0.9892571148558349,1.0012864917731141,1.0085896284272304,1.9217355065977535
2019-01-25,0.8945829385150361,0.9862805121312338,1.0022467303841056,1.0093002438824632,1.9223223743484776
2019-01-28,0.8985500181031448,0.9797967512363023,1.0004452102813366,0.9995100627622541,1.9939518590984004
2019-01-29,0.8958356585696825,0.9833945466047619,0.9991100299937143,1.0024811293079305,2.006867178928937
2019-01-30,0.9050226970986205,0.9893865524885673,1.0006006568863854,1.0033202593654669,1.9849544957615448
2019-01-31,0.9191163552566519,0.9866169882659055,0.9966135351903651,0.9934620358015415,2.001250850526589
2019-02-01,0.9122260763599485,0.9871993804751606,0.9953606829969789,0.9923204548286266,1.9839503356362496
2019-02-04,0.9078413968706119,0.9896195093722694,1.0007927325164123,0.9902868419247168,2.0004633924259263
2019-02-05,0.9062754171532669,0.9931396267334812,1.0055754366349523,0.9916098393733939,1.996306580354909
2019-02-06,0.9075282168569504,0.9987950793445741,1.0053925705883486,0.9921767996560659,2.027060142218693
2019-02-07,0.9063798370408331,1.00055513802518,1.0056943239845948,0.9989052510539386,2.0355846279032836
2019-02-08,0.9088853567991629,0.9994162719884326,1.003700728251799,1.0063064664814008,1.8871900620947681
2019-02-11,0.9051270373371496,1.0003739407669627,1.0041945572780722,1.003516816411486,1.8966820538447258
2019-02-12,0.9142096559785214,1.0060294705160966,1.0095900475420991,1.005482476994122,1.8940351070884571
2019-02-13,0.918594335467858,1.0038422985026898,1.0106416842916068,1.0000845933300548,1.905224665163347
2019-02-14,0.9099293963767511,1.0065989035344702,1.0143727516606391,1.0023903760088286,1.9132261256081882
2019-02-15,0.9161932355970943,1.0111931681160633,1.010852039549337,1.0052556388075877,1.9111495321360825
2019-02-18,0.9161932355970943,1.0027940696640716,1.0110898142486218,1.0008708215141322,1.7672152820706302
2019-02-19,0.9168195956244175,1.0013575279272557,1.0113367287617585,1.000492847992351,1.7531659017375791
2019-02-20,0.9195339551578798,0.9908359762782235,1.011162932759435,0.9985952298534312,1.7300553155566978
2019-02-21,0.9194295352703136,0.9920654023750591,1.0129278936067974,0.9956544444482692,1.750051917811122
2019-02-22,0.9295561138402363,0.992350118884246,1.0124066451389695,0.9998427046957055,1.7275912363082047
2019-02-25,0.9410398323523718,0.9905124593344333,1.0129919420733302,0.9927059986355367,1.7822440508291346
2019-02-26,0.9510619910347282,0.9858664351273554,1.0154975766905312,0.9968035055838709,1.7953474744617222
2019-02-27,0.9479301112490752,0.9761343141895175,1.0110166259682376,0.9950496327399538,1.7968907715014608
2019-02-28,0.9559686903128588,0.9717212468661417,1.0138149439374045,0.9937643965944782,1.7951482938833192
2019-03-01,0.9603533698021954,0.97562959998751,1.0183416634985276,0.9952234789305872,1.792916625542285
2019-03-04,0.9411442522399379,0.9774802187282041,1.0236548256683187,1.0042425724369763,1.8396404821544963
2019-03-05,0.9264241544055462,0.9820227236843124,1.0221824784033509,1.0063820792102454,1.7759870819617718
2019-03-06,0.9152536159070724,0.9836534218702269,1.0229963404535736,1.00951194149874,1.77254441987156
2019-03-07,0.8975060581745938,0.981750966366007,1.0207741796049157,1.0162932947700714,1.76912652948119
2019-03-08,0.8710934817019713,0.988480643335522,1.0208747873268549,1.0164218093723747,1.7738216728829161
2019-03-11,0.877148481147182,0.9964008688292282,1.0158085396702006,1.0144032469162803,1.7719609758517083
